id;curso;maior_nota;menor_nota;media;atingiu_media;faltas;status;evadiu;atraso;acordo;periodo
14851;Enfermagem;10;5;6;1;8;Cursando;0;1;0;8
14853;Administração;7;2,5;5,2;1;16;Cursando;0;0;0;6
14862;Enfermagem;8,5;1,5;5,2;1;16;Cursando;0;1;0;10
14872;Educação Física;3;3;3;0;8;Cursando;0;0;0;10
14876;Educação Física;5;5;5;1;10;Cursando;0;0;0;10
14880;Administração;8,5;2;5,19;1;8;Cursando;0;1;0;8
14888;Educação Física;6;5;5,5;1;20;Cursando;0;1;1;10
14889;Administração;5,5;1,5;4,14;0;8;Cursando;0;0;0;8
14893;Letras;10;7;8,19;1;9;Cursando;0;1;0;10
14903;Letras;10;4;6,38;1;16;Cursando;0;1;0;6
14916;Administração;5;2;4;0;16;Cursando;0;1;0;8
14917;Biologia;7,5;0;4,79;0;28;Cursando;0;0;0;10
14928;Educação Física;6,5;5,5;5,83;1;14;Cursando;0;1;0;10
14932;História;2,5;0;0,42;0;14;Cursando;0;1;0;4
14933;Administração;6,8;1;4,36;0;44;Cursando;0;1;1;6
14934;Enfermagem;8;4,5;5,63;1;8;Cursando;0;1;0;8
14941;Matemática;5;0;1,83;0;62;Cursando;0;1;0;8
14942;Biologia;9;5;6,08;1;32;Cursando;0;1;0;10
14955;Educação Física;5,5;1,5;4,71;0;2;Cursando;0;0;0;8
14964;Educação Física;7,5;1;3,67;0;8;Cursando;0;1;0;8
14965;Enfermagem;6,5;2,5;4,33;0;10;Cursando;0;0;0;8
14985;Administração;0,5;0;0,36;0;44;Evadido;1;1;0;6
14986;Administração;5;0;2,38;0;60;Cursando;0;1;1;10
14996;Educação Física;8;5;6,58;1;16;Cursando;0;0;0;10
15008;Enfermagem;4;3,5;3,75;0;8;Cursando;0;1;0;10
15023;Administração;8;4,5;5,64;1;12;Cursando;0;0;0;10
15029;Enfermagem;9;0;4,5;0;12;Cursando;0;1;0;10
15030;Administração;8;3,5;6,21;1;16;Cursando;0;1;0;10
15035;Enfermagem;5;5;5;1;4;Cursando;0;1;0;10
15036;Letras;2;0;0,67;0;56;Evadido;1;0;0;8
15044;Biologia;8;6;6,63;1;21;Cursando;0;1;0;10
15049;Matemática;9,5;1;5;1;14;Cursando;0;0;0;4
15055;Biologia;8,5;5;6,6;1;20;Cursando;0;0;0;10
15059;Educação Física;10;5;7,33;1;8;Cursando;0;0;0;10
15069;Administração;9;2;4,92;0;20;Cursando;0;0;0;8
15076;Biologia;8,5;5;6,14;1;13;Cursando;0;1;0;10
15098;Administração;8;5,5;6,64;1;18;Cursando;0;1;0;10
15100;Administração;8;7,5;7,83;1;6;Cursando;0;1;0;10
15106;Administração;5,5;1;3,5;0;30;Cursando;0;1;0;4
15116;Educação Física;7,5;5;6,08;1;16;Cursando;0;0;0;10
15129;Educação Física;7,5;0;5,67;1;18;Evadido;1;1;0;6
15131;Administração;7;5;5,83;1;12;Cursando;0;1;0;10
15155;Administração;6;0;3,83;0;8;Cursando;0;1;0;10
15161;Administração;5;0;2;0;44;Cursando;0;0;0;10
15169;Enfermagem;9;6;7,33;1;6;Cursando;0;1;0;8
15179;Biologia;5,5;0,5;3,06;0;8;Cursando;0;1;0;8
15186;Administração;8,8;5;6,23;1;12;Cursando;0;0;0;10
15204;Enfermagem;8;4,5;5,88;1;8;Cursando;0;0;0;8
15221;Administração;6;0,5;3,83;0;12;Cursando;0;1;0;8
15231;Administração;6;0,5;3,7;0;8;Cursando;0;1;1;8
15243;Administração;7;0;3,92;0;12;Cursando;0;1;0;8
15250;Administração;8;5,5;7;1;8;Cursando;0;0;0;10
15253;Administração;9;0,5;3,88;0;32;Cursando;0;1;1;6
15256;Enfermagem;6;0;3,33;0;24;Cursando;0;0;0;8
15260;Administração;6;5;5,5;1;8;Cursando;0;0;0;10
15264;Administração;6;0,5;4,13;0;26;Cursando;0;1;0;8
15282;Administração;5;0;1;0;32;Evadido;1;1;0;8
15293;Educação Física;6;3;5;1;10;Cursando;0;1;0;8
15315;Educação Física;8,5;6,5;7,5;1;6;Cursando;0;0;0;10
15324;Biologia;8,5;4;6,31;1;2;Cursando;0;0;0;8
15334;Enfermagem;10;5;7;1;1;Cursando;0;0;0;8
15340;Administração;5;0;1,5;0;18;Cursando;0;0;0;8
15344;Administração;6,5;4,5;5,3;1;16;Cursando;0;0;0;10
15355;Educação Física;6,5;6;6,38;1;14;Cursando;0;1;0;10
15385;Biologia;7,5;0;4,78;0;6;Cursando;0;1;0;8
15400;Administração;7,5;5;6;1;12;Cursando;0;1;1;6
16765;Administração;8;5;6,9;1;18;Cursando;0;1;0;10
16767;Educação Física;8;0;2,57;0;30;Cursando;0;1;0;8
16768;Matemática;0;0;0;0;50;Evadido;1;1;0;6
16804;Administração;5;3,5;4,5;0;10;Cursando;0;1;0;10
16810;Administração;3,5;0;1,5;0;28;Evadido;1;1;0;8
16812;Administração;6,5;5;5,9;1;4;Cursando;0;1;0;8
16813;Administração;5,5;1,5;4,5;0;16;Cursando;0;1;0;10
16845;Educação Física;7,5;7;7,13;1;12;Cursando;0;0;0;10
16847;Educação Física;6,5;0,5;2,88;0;14;Cursando;0;0;0;10
16854;Administração;8;5,5;6,81;1;8;Cursando;0;0;0;10
16876;Administração;6,5;0;1,6;0;40;Cursando;0;1;0;8
16897;Educação Física;8;5;7,06;1;10;Cursando;0;1;0;10
18478;Matemática;6,5;0,5;2,9;0;20;Cursando;0;0;0;8
18479;Matemática;8;2,5;5,43;1;8;Cursando;0;1;1;8
18492;Administração;5;0,5;3,8;0;18;Cursando;0;0;0;10
18493;Letras;6,5;0,5;4,72;0;12;Cursando;0;0;0;8
18498;Matemática;9,5;2,5;7,33;1;4;Cursando;0;1;1;8
18503;Administração;5,5;1,5;4,43;0;12;Cursando;0;1;0;8
18513;Matemática;2;0;0,75;0;32;Cursando;0;1;1;4
18519;Matemática;9;5;6,9;1;18;Cursando;0;1;0;6
18520;Administração;7,5;5;6,5;1;12;Cursando;0;1;0;8
18523;Matemática;6,5;2;4,67;0;8;Cursando;0;1;0;8
18529;Administração;7,5;5;6,56;1;20;Cursando;0;0;0;10
18530;Matemática;2;2;2;0;0;Cursando;0;1;0;10
18545;Matemática;9,5;3;6,33;1;8;Cursando;0;0;0;8
18549;Administração;5,5;1,5;4,17;0;20;Cursando;0;1;0;8
18555;Matemática;0;0;0;0;28;Evadido;1;1;0;6
18576;Letras;5;0,5;3,13;0;32;Cursando;0;1;1;6
18584;Matemática;8;6;7,2;1;12;Cursando;0;1;0;10
18585;Letras;8,5;5;6,29;1;8;Cursando;0;0;0;8
18599;Administração;8;5;7,14;1;16;Cursando;0;1;0;8
18617;Letras;8,5;1;4,89;0;20;Cursando;0;1;0;6
18906;Matemática;5;1,5;4;0;12;Cursando;0;1;0;4
18914;Matemática;9;4;6,94;1;8;Cursando;0;1;0;8
19017;Enfermagem;10;6,5;8,25;1;4;Aluno Formado;0;0;0;10
19478;Matemática;8;4;6,17;1;6;Cursando;0;1;0;8
19519;Educação Física;7,5;5;6,36;1;10;Cursando;0;1;0;8
19562;Enfermagem;7;0;3,06;0;12;Cursando;0;0;0;6
19572;Matemática;8,5;3,5;6,33;1;6;Cursando;0;0;0;8
19798;Educação Física;0;0;0;0;72;Evadido;1;1;0;6
19811;Administração;7,5;5;6,38;1;4;Cursando;0;1;0;10
19814;Matemática;6,5;0;2,5;0;16;Cursando;0;1;0;8
19855;Enfermagem;3;0;1,2;0;28;Cursando;0;1;1;8
19858;Administração;7,5;5;6,7;1;8;Cursando;0;0;0;10
19860;Administração;8,5;3,5;5,5;1;12;Cursando;0;0;0;10
19866;Educação Física;8,5;5;7,07;1;14;Cursando;0;0;0;10
19875;Matemática;8,5;5;6,78;1;8;Cursando;0;0;0;8
19882;Matemática;8,5;5,5;7;1;0;Cursando;0;0;0;10
19888;Matemática;7,5;1,5;4,5;0;46;Cursando;0;0;0;8
19889;Matemática;9;5;7;1;4;Cursando;0;1;0;10
19890;Administração;9,5;6;7,42;1;12;Cursando;0;0;0;10
19892;Matemática;7,5;2,5;5,1;1;6;Cursando;0;1;0;8
19899;Letras;9;0;2,64;0;50;Cursando;0;1;0;6
19906;Letras;8;5;6,5;1;16;Cursando;0;0;0;8
19910;Gastronomia;8,5;0,5;5,58;1;8;Cursando;0;1;0;8
19913;Administração;10;5;7,21;1;6;Cursando;0;0;0;10
19916;Enfermagem;6;6;6;1;8;Cursando;0;1;0;10
19924;Administração;8,5;5;6,79;1;16;Cursando;0;0;0;10
19931;Matemática;8;5;6,67;1;4;Cursando;0;1;0;10
19935;Matemática;0;0;0;0;72;Cursando;0;0;0;4
19939;Matemática;7,5;6,5;6,8;1;5;Cursando;0;0;0;10
19940;Administração;8;5,5;6,43;1;12;Cursando;0;0;0;10
19942;Administração;10;7;8,5;1;8;Cursando;0;0;0;10
19944;Biologia;7;1;5,06;1;8;Cursando;0;1;0;8
19946;Educação Física;9,5;6;7,94;1;2;Cursando;0;0;0;10
19949;Administração;7,5;5,5;6,5;1;4;Cursando;0;1;0;10
19955;Enfermagem;9;0;1,69;0;68;Evadido;1;1;0;4
19970;Biologia;7,5;5;6,15;1;6;Cursando;0;0;0;10
19971;Enfermagem;5,5;2,5;4,36;0;18;Cursando;0;0;0;8
19972;Administração;6,5;3,5;4,9;0;20;Cursando;0;1;0;8
19973;Enfermagem;7,5;1,5;5,28;1;16;Cursando;0;0;0;8
19980;Administração;6,5;5;5,5;1;12;Cursando;0;1;0;8
19983;Enfermagem;8,5;0;4,28;0;12;Cursando;0;0;0;8
19984;Administração;7;5;5,8;1;12;Cursando;0;1;0;8
19985;Educação Física;8,5;6;7,44;1;10;Cursando;0;0;0;8
19991;Educação Física;9;6;7,67;1;8;Cursando;0;0;0;10
19997;Biologia;8,5;5;7,17;1;4;Cursando;0;1;1;10
19999;Administração;7;1;3,92;0;56;Cursando;0;0;0;8
20001;Educação Física;8;0,5;4,42;0;10;Cursando;0;1;0;8
20004;Letras;5;1;3,29;0;20;Cursando;0;0;0;6
20015;Administração;10;5;7,14;1;12;Cursando;0;0;0;8
20016;Administração;8;0;2,67;0;20;Cursando;0;0;1;4
20017;Enfermagem;8;5;5,83;1;4;Cursando;0;1;0;10
20018;Educação Física;7,5;0;2,25;0;38;Cursando;0;0;0;8
20022;Letras;9;0;2,5;0;36;Cursando;0;0;0;8
20036;Administração;10;1;5,47;1;12;Evadido;1;0;0;8
20037;Educação Física;9,5;6;8,07;1;4;Cursando;0;0;0;8
20042;Educação Física;8,5;5;6;1;20;Cursando;0;0;0;8
20045;Educação Física;10;7;8,19;1;2;Cursando;0;0;0;10
20047;Enfermagem;9,5;6;7,75;1;6;Cursando;0;0;0;10
20052;Administração;6,5;0;2,88;0;12;Cursando;0;1;0;8
20055;Educação Física;1;0;0,38;0;58;Cursando;0;0;0;6
20059;Administração;7,5;2,5;5,5;1;12;Cursando;0;0;0;8
20070;Educação Física;8;6;7;1;2;Cursando;0;1;0;8
20076;Letras;10;8,5;9,25;1;4;Cursando;0;0;0;8
20078;Administração;8;3;6;1;14;Cursando;0;0;0;10
20079;Matemática;9,5;5;7,5;1;2;Cursando;0;1;0;8
20080;Educação Física;9,5;3;6,72;1;12;Cursando;0;1;0;10
20084;Administração;6;0,5;3,8;0;32;Cursando;0;1;0;6
20089;Educação Física;6,5;3,5;5,6;1;8;Cursando;0;0;0;10
20090;Biologia;7,5;6;6,94;1;7;Cursando;0;0;0;10
20101;Matemática;6;1;4,19;0;4;Cursando;0;1;0;8
20102;Educação Física;9,5;6,5;7,75;1;4;Cursando;0;0;0;10
20103;Administração;9,5;6;7,92;1;12;Cursando;0;0;0;10
20104;Administração;7,5;2;5,8;1;20;Cursando;0;1;0;10
20105;Administração;6;0;2,6;0;18;Cursando;0;0;0;8
20116;Enfermagem;10;6;7,83;1;8;Cursando;0;0;0;10
20117;Administração;6;5;5,33;1;0;Cursando;0;1;0;10
20119;Letras;9,5;2;5,75;1;4;Cursando;0;1;0;8
20125;Administração;2,5;0;0,63;0;40;Cursando;0;0;0;4
20126;Administração;8;5,5;6,6;1;4;Cursando;0;0;0;6
20127;Educação Física;5,5;1;2,9;0;24;Cursando;0;0;0;8
20131;Educação Física;8;2;5,92;1;12;Cursando;0;1;0;10
20133;Administração;5,5;3;4,83;0;14;Cursando;0;1;0;10
20145;Matemática;8;3,5;6,33;1;8;Cursando;0;0;0;10
20148;Enfermagem;10;6;7,75;1;7;Cursando;0;1;0;10
20152;Administração;0;0;0;0;44;Evadido;1;1;0;2
