id;curso;maior_nota;menor_nota;media;atingiu_media;faltas;status;evadiu;atraso;acordo;periodo
28609;Gastronomia;6,7;3,25;5,58;1;16;Cursando;0;0;0;8
28680;Administração;8,05;0,15;5,21;1;20;Cursando;0;1;1;8
28682;Educação Física;5,43;0,71;3,24;0;46;Cursando;0;1;0;6
28684;Gastronomia;8,2;5;6,11;1;8;Cursando;0;1;1;2
28686;Administração;8,13;0,63;3,76;0;18;Cursando;0;1;0;8
28687;Enfermagem;9,8;5;6,48;1;10;Cursando;0;1;0;10
28688;Matemática;2,04;0;0,41;0;44;Cursando;0;0;0;6
28692;Administração;8,1;0,5;4,82;0;14;Cursando;0;0;0;8
28702;Biologia;0;0;0;0;52;Cursando;0;0;0;4
28705;Administração;7;0,5;4,97;0;20;Aluno Formado;0;1;0;10
28706;Administração;7,53;5,23;6,74;1;8;Evadido;1;0;0;8
28708;Biologia;5;2,31;4,33;0;4;Cursando;0;0;0;4
28710;Gastronomia;9,28;7,68;8,44;1;4;Aluno Formado;0;0;0;10
28711;Biologia;7,7;3,95;5,78;1;8;Cursando;0;1;0;6
28713;Enfermagem;9,29;5,58;6,96;1;6;Cursando;0;1;0;8
28716;Letras;7,95;3,33;5,09;1;10;Cursando;0;1;1;4
28718;Administração;5,78;1,2;3,95;0;32;Cursando;0;0;0;8
28719;Educação Física;8,5;6,42;7,63;1;8;Aluno Formado;0;0;0;10
28722;Letras;8,25;6,44;7,3;1;28;Cursando;0;1;0;10
28724;Letras;5;0,5;2,05;0;54;Cursando;0;1;0;4
28726;Educação Física;9,23;6,19;7,68;1;8;Aluno Formado;0;1;0;10
28728;Matemática;8,81;5,01;6,13;1;8;Cursando;0;1;0;8
28729;Administração;4;0;1,23;0;40;Cursando;0;1;0;8
28730;Gastronomia;8,1;5;6,58;1;4;Aluno Formado;0;1;0;10
28734;Letras;8,45;5;6,41;1;14;Cursando;0;1;0;8
28736;Matemática;9,5;5,55;7,67;1;8;Aluno Formado;0;1;0;10
28739;Administração;7,63;5;6,09;1;12;Cursando;0;0;0;9
28743;Administração;7,08;5;6,08;1;18;Cursando;0;1;0;10
28746;Educação Física;8,48;6,34;7,32;1;8;Aluno Formado;0;1;0;10
28747;Administração;9;7,15;8,12;1;10;Aluno Formado;0;1;0;10
28749;Enfermagem;9,88;5,13;6,81;1;6;Cursando;0;0;0;10
28754;Matemática;8,53;2,43;6,27;1;6;Cursando;0;1;0;8
28755;Biologia;9,33;5,33;6,61;1;4;Cursando;0;1;0;10
28761;Biologia;5,56;0,7;3,56;0;10;Evadido;1;1;0;8
28763;Enfermagem;9,3;5;6,43;1;8;Cursando;0;1;0;10
