id,curso,maior_nota,menor_nota,media,atingiu_media,faltas,status,atraso,acordo,periodo,Label,Score
14932,História,"1,2",0,"0,5",0,28,Evadido,1,0,2,1,0.9176
14933,Administração,"6,55",2,"4,28",0,16,Evadido,1,1,8,0,0.0561
14934,Enfermagem,"8,45",3,"5,52",1,8,Cursando,1,1,10,0,0.0
14941,Matemática,0,0,0,0,44,Cursando,1,0,6,1,0.8401
14952,Enfermagem,"6,55",5,"5,55",1,4,Aluno Formado,1,0,10,0,0.0
14955,Educação Física,"7,65",5,"6,82",1,4,Aluno Formado,0,0,10,0,0.0
14964,Educação Física,"6,95","0,52","3,54",0,28,Cursando,1,0,8,1,0.9836
14965,Enfermagem,"9,1","0,5","3,39",0,16,Cursando,0,0,8,0,0.206
14986,Administração,"5,75","1,4","4,05",0,20,Aluno Formado,1,1,10,0,0.0234
15008,Enfermagem,"5,24",5,"5,12",1,8,Cursando,1,0,10,0,0.0
15023,Administração,"6,08",5,"5,37",1,16,Aluno Formado,0,0,10,0,0.0001
15029,Enfermagem,"3,8","3,8","3,8",0,8,Cursando,1,0,10,0,0.0005
15049,Matemática,"5,77",0,"2,42",0,24,Cursando,0,0,6,1,0.9806
15069,Administração,"5,85","3,7","5,01",1,16,Cursando,1,0,8,0,0.0004
15106,Administração,"4,23","0,63","2,84",0,28,Cursando,1,0,6,1,0.9978
15161,Administração,"7,6","5,4","6,42",1,10,Aluno Formado,0,0,10,0,0.0
15169,Enfermagem,"8,17","0,63","3,2",0,18,Cursando,1,1,8,0,0.1223
15179,Biologia,"5,75","1,03","2,96",0,10,Evadido,1,0,6,0,0.1355
15204,Enfermagem,"7,8","0,75","5,25",1,11,Cursando,0,0,10,0,0.0001
15221,Administração,"8,25","2,25","5,13",1,12,Cursando,0,0,8,0,0.003
15231,Administração,"6,25","3,5","4,95",0,12,Aluno Formado,1,1,10,0,0.0004
15243,Administração,"8,55","1,95","5,61",1,20,Cursando,0,0,8,0,0.0005
15253,Administração,"5,45","1,14","3,66",0,12,Cursando,1,1,8,0,0.0005
15255,Enfermagem,"6,65","1,67","4,52",0,10,Cursando,1,0,10,0,0.001
15256,Enfermagem,"5,5","3,25","4,69",0,10,Cursando,0,0,10,0,0.0002
15264,Administração,"5,53","4,03","4,71",0,14,Cursando,1,1,8,0,0.0122
15334,Enfermagem,"8,93","3,73","6,23",1,4,Aluno Formado,1,0,10,0,0.0
15340,Administração,"3,85",0,"1,55",0,8,Cursando,0,0,6,0,0.0062
15385,Biologia,8,"0,75","3,49",0,17,Cursando,0,0,10,0,0.0208
15400,Administração,"6,18",5,"5,53",1,12,Cursando,1,1,8,0,0.0016
16767,Educação Física,0,0,0,0,62,Cursando,1,0,10,0,0.0506
16810,Administração,"1,36",0,"0,61",0,40,Cursando,1,0,4,1,0.5409
16812,Administração,"6,83","5,13","5,66",1,10,Aluno Formado,0,0,10,0,0.0
16813,Administração,"7,35","1,4","4,38",0,16,Aluno Formado,1,0,10,0,0.0003
16847,Educação Física,"5,25","5,25","5,25",1,12,Aluno Formado,1,0,10,0,0.0
16876,Administração,"0,4",0,"0,1",0,38,Evadido,1,1,6,0,0.0307
16889,Administração,"1,2",0,"0,3",0,44,Evadido,1,1,8,0,0.0358
18478,Matemática,"7,28",5,"5,63",1,6,Cursando,0,0,10,0,0.0
18479,Matemática,"5,98","3,5","5,13",1,4,Aluno Formado,1,1,10,0,0.0
18492,Administração,"7,7","6,9","7,3",1,12,Aluno Formado,1,0,10,0,0.0
18498,Matemática,"7,42","5,58","6,52",1,2,Aluno Formado,1,0,10,0,0.0
18503,Administração,"5,67","2,19","4,46",0,8,Cursando,1,0,8,0,0.0009
18519,Matemática,"8,19","2,15","5,46",1,6,Cursando,1,0,8,0,0.0
18520,Administração,"7,75","5,6","6,68",1,4,Aluno Formado,0,0,10,0,0.0
18545,Matemática,"7,03",5,"5,69",1,6,Aluno Formado,0,0,10,0,0.0
18549,Administração,"6,4",5,"5,48",1,12,Aluno Formado,0,0,10,0,0.0
18576,Letras,"8,06","1,6","4,64",0,16,Cursando,1,0,8,0,0.0005
18585,Letras,"6,6","0,5","4,77",0,16,Cursando,0,0,8,0,0.0033
